dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,erpnext_database,tabPurchase Receipt,supplier_address,31,varchar,140,FOREIGN KEY,erpnext_database,tabAddress,name
mysql,erpnext_database,tabPurchase Receipt,_liked_by,32,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,total_qty,33,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,lr_no,34,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,price_list_currency,35,varchar,140,FOREIGN KEY,erpnext_database,tabCurrency,name
mysql,erpnext_database,tabPurchase Receipt,base_taxes_and_charges_added,36,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,contact_display,37,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,supplier,38,varchar,140,FOREIGN KEY,erpnext_database,tabSupplier,name
mysql,erpnext_database,tabPurchase Receipt,terms,39,longtext,4294967295,,,,
mysql,erpnext_database,tabPurchase Receipt,supplier_warehouse,40,varchar,140,FOREIGN KEY,erpnext_database,tabWarehouse,name
mysql,erpnext_database,tabPurchase Receipt,set_warehouse,41,varchar,140,FOREIGN KEY,erpnext_database,tabWarehouse,name
mysql,erpnext_database,tabPurchase Receipt,shipping_address,42,varchar,140,FOREIGN KEY,erpnext_database,tabAddress,name
mysql,erpnext_database,tabPurchase Receipt,contact_mobile,43,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,_user_tags,44,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,base_net_total,45,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,taxes_and_charges_deducted,46,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,apply_discount_on,47,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,range,48,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,auto_repeat,49,varchar,140,FOREIGN KEY,erpnext_database,tabAuto Repeat,name
mysql,erpnext_database,tabPurchase Receipt,contact_person,50,varchar,140,FOREIGN KEY,erpnext_database,tabContact,name
mysql,erpnext_database,tabPurchase Receipt,in_words,51,varchar,240,,,,
mysql,erpnext_database,tabPurchase Receipt,additional_discount_percentage,52,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,conversion_rate,53,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,posting_time,54,time,,,,,
mysql,erpnext_database,tabPurchase Receipt,total,55,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,bill_no,56,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,tc_name,57,varchar,140,FOREIGN KEY,erpnext_database,tabTerms and Conditions,name
mysql,erpnext_database,tabPurchase Receipt,rejected_warehouse,58,varchar,140,FOREIGN KEY,erpnext_database,tabWarehouse,name
mysql,erpnext_database,tabPurchase Receipt,is_subcontracted,59,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,_comments,60,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,base_total,61,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,other_charges_calculation,62,longtext,4294967295,,,,
mysql,erpnext_database,tabPurchase Receipt,company,63,varchar,140,FOREIGN KEY,erpnext_database,tabCompany,name
mysql,erpnext_database,tabPurchase Receipt,base_rounded_total,64,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,tax_category,65,varchar,140,FOREIGN KEY,erpnext_database,tabTax Category,name
mysql,erpnext_database,tabPurchase Receipt,grand_total,66,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,language,67,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,rounding_adjustment,68,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,rounded_total,69,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,posting_date,70,date,,,,,
mysql,erpnext_database,tabPurchase Receipt,base_in_words,71,varchar,240,,,,
mysql,erpnext_database,tabPurchase Receipt,naming_series,72,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,currency,73,varchar,140,FOREIGN KEY,erpnext_database,tabCurrency,name
mysql,erpnext_database,tabTherapy Plan Template,name,1,varchar,140,PRIMARY KEY,,,
mysql,erpnext_database,tabTherapy Plan Template,plan_name,11,varchar,140,UNIQUE,,,
mysql,erpnext_database,tabJob Opening,name,1,varchar,140,PRIMARY KEY,,,
mysql,erpnext_database,tabJob Opening,route,15,varchar,140,UNIQUE,,,
mysql,erpnext_database,tabPurchase Receipt,letter_head,74,varchar,140,FOREIGN KEY,erpnext_database,tabLetter Head,name
mysql,erpnext_database,tabPurchase Receipt,base_taxes_and_charges_deducted,75,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,shipping_rule,76,varchar,140,FOREIGN KEY,erpnext_database,tabShipping Rule,name
mysql,erpnext_database,tabPurchase Receipt,amended_from,77,varchar,140,FOREIGN KEY,erpnext_database,tabPurchase Receipt,name
mysql,erpnext_database,tabPurchase Receipt,base_grand_total,78,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,bill_date,79,date,,,,,
mysql,erpnext_database,tabPurchase Receipt,status,80,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,group_same_items,81,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,taxes_and_charges,82,varchar,140,FOREIGN KEY,erpnext_database,tabPurchase Taxes and Charges Template,name
mysql,erpnext_database,tabPurchase Receipt,per_billed,83,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,transporter_name,84,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,total_net_weight,85,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,remarks,86,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,shipping_address_display,87,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,plc_conversion_rate,88,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,net_total,89,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,contact_email,90,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,supplier_gstin,91,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,company_gstin,92,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,place_of_supply,93,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,apply_putaway_rule,94,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,billing_address,95,varchar,140,FOREIGN KEY,erpnext_database,tabAddress,name
mysql,erpnext_database,tabPurchase Receipt,billing_address_display,96,text,65535,,,,
mysql,erpnext_database,tabPurchase Receipt,set_from_warehouse,97,varchar,140,FOREIGN KEY,erpnext_database,tabWarehouse,name
mysql,erpnext_database,tabPurchase Receipt,scan_barcode,98,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,provisional_expense_account,99,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,project,100,varchar,140,FOREIGN KEY,erpnext_database,tabProject,name
mysql,erpnext_database,tabPurchase Receipt,per_returned,101,decimal,,,,,
mysql,erpnext_database,tabPurchase Receipt,is_internal_supplier,102,int,,,,,
mysql,erpnext_database,tabPurchase Receipt,inter_company_reference,103,varchar,140,FOREIGN KEY,erpnext_database,tabDelivery Note,name
mysql,erpnext_database,tabPurchase Receipt,represents_company,104,varchar,140,FOREIGN KEY,erpnext_database,tabCompany,name
mysql,erpnext_database,tabPurchase Receipt,cost_center,105,varchar,140,FOREIGN KEY,erpnext_database,tabCost Center,name
mysql,erpnext_database,tabPurchase Receipt,incoterm,106,varchar,140,FOREIGN KEY,erpnext_database,tabIncoterm,name
mysql,erpnext_database,tabPurchase Receipt,named_place,107,varchar,140,,,,
mysql,erpnext_database,tabPurchase Receipt,is_old_subcontracting_flow,108,int,,,,,
mysql,erpnext_database,tabTherapy Plan Template,creation,2,datetime,,,,,
mysql,erpnext_database,tabTherapy Plan Template,modified,3,datetime,,,,,
mysql,erpnext_database,tabTherapy Plan Template,modified_by,4,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabTherapy Plan Template,owner,5,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabTherapy Plan Template,docstatus,6,int,,,,,
mysql,erpnext_database,tabTherapy Plan Template,parent,7,varchar,140,,,,
mysql,erpnext_database,tabTherapy Plan Template,parentfield,8,varchar,140,,,,
mysql,erpnext_database,tabTherapy Plan Template,parenttype,9,varchar,140,,,,
mysql,erpnext_database,tabTherapy Plan Template,idx,10,int,,,,,
mysql,erpnext_database,tabTherapy Plan Template,item_code,12,varchar,140,,,,
mysql,erpnext_database,tabTherapy Plan Template,item_name,13,varchar,140,,,,
mysql,erpnext_database,tabTherapy Plan Template,item_group,14,varchar,140,,,,
mysql,erpnext_database,tabTherapy Plan Template,description,15,text,65535,,,,
mysql,erpnext_database,tabTherapy Plan Template,linked_item,16,varchar,140,,,,
mysql,erpnext_database,tabTherapy Plan Template,total_sessions,17,int,,,,,
mysql,erpnext_database,tabTherapy Plan Template,total_amount,18,decimal,,,,,
mysql,erpnext_database,tabTherapy Plan Template,_user_tags,19,text,65535,,,,
mysql,erpnext_database,tabTherapy Plan Template,_comments,20,text,65535,,,,
mysql,erpnext_database,tabTherapy Plan Template,_assign,21,text,65535,,,,
mysql,erpnext_database,tabTherapy Plan Template,_liked_by,22,text,65535,,,,
mysql,erpnext_database,tabJob Opening,creation,2,datetime,,,,,
mysql,erpnext_database,tabJob Opening,modified,3,datetime,,,,,
mysql,erpnext_database,tabJob Opening,modified_by,4,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabJob Opening,owner,5,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabJob Opening,docstatus,6,int,,,,,
mysql,erpnext_database,tabJob Opening,parent,7,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,parentfield,8,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,parenttype,9,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,idx,10,int,,,,,
mysql,erpnext_database,tabJob Opening,status,11,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,_liked_by,12,text,65535,,,,
mysql,erpnext_database,tabJob Opening,description,13,longtext,4294967295,,,,
mysql,erpnext_database,tabJob Opening,designation,14,varchar,140,FOREIGN KEY,erpnext_database,tabDesignation,name
mysql,erpnext_database,tabJob Opening,company,16,varchar,140,FOREIGN KEY,erpnext_database,tabCompany,name
mysql,erpnext_database,tabJob Opening,_assign,17,text,65535,,,,
mysql,erpnext_database,tabJob Opening,publish,18,int,,,,,
mysql,erpnext_database,tabJob Opening,_comments,19,text,65535,,,,
mysql,erpnext_database,tabJob Opening,planned_vacancies,20,int,,,,,
mysql,erpnext_database,tabJob Opening,department,21,varchar,140,FOREIGN KEY,erpnext_database,tabDepartment,name
mysql,erpnext_database,tabJob Opening,_user_tags,22,text,65535,,,,
mysql,erpnext_database,tabJob Opening,staffing_plan,23,varchar,140,FOREIGN KEY,erpnext_database,tabStaffing Plan,name
mysql,erpnext_database,tabJob Opening,job_title,24,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,branch,25,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,s_status,26,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,job_application_route,27,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,currency,28,varchar,140,FOREIGN KEY,erpnext_database,tabCurrency,name
mysql,erpnext_database,tabJob Opening,lower_range,29,decimal,,,,,
mysql,erpnext_database,tabJob Opening,upper_range,30,decimal,,,,,
mysql,erpnext_database,tabJob Opening,publish_salary_range,31,int,,,,,
mysql,erpnext_database,tabJob Opening,job_requisition,32,varchar,140,FOREIGN KEY,erpnext_database,tabJob Requisition,name
mysql,erpnext_database,tabJob Opening,vacancies,33,int,,,,,
mysql,erpnext_database,tabJob Opening,custom_created_by,34,varchar,140,FOREIGN KEY,erpnext_database,tabEmployee,name
mysql,erpnext_database,tabJob Opening,custom_vacancies,35,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,name,1,varchar,140,PRIMARY KEY,,,
mysql,erpnext_database,tabDowntime Entry,name,1,varchar,140,PRIMARY KEY,,,
mysql,erpnext_database,tabSales Invoice,name,1,varchar,140,PRIMARY KEY,,,
mysql,erpnext_database,tabJob Opening,custom_created,36,datetime,,,,,
mysql,erpnext_database,tabJob Opening,custom_start_date,37,datetime,,,,,
mysql,erpnext_database,tabJob Opening,custom_end_date,38,datetime,,,,,
mysql,erpnext_database,tabJob Opening,custom_min_years_of_experience,39,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_max_years_of_experience,40,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_branch,41,varchar,140,FOREIGN KEY,erpnext_database,tabBranch,name
mysql,erpnext_database,tabJob Opening,custom_reports_to,42,varchar,140,FOREIGN KEY,erpnext_database,tabEmployee,name
mysql,erpnext_database,tabJob Opening,custom_employment_type,43,varchar,140,FOREIGN KEY,erpnext_database,tabEmployment Type,name
mysql,erpnext_database,tabJob Opening,custom_department,44,varchar,140,FOREIGN KEY,erpnext_database,tabDepartment,name
mysql,erpnext_database,tabJob Opening,custom_education,45,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_service_agreement,46,varchar,140,FOREIGN KEY,erpnext_database,tabService Level Agreement,name
mysql,erpnext_database,tabJob Opening,custom_certifications_if_required,47,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_shift_timing,48,varchar,140,FOREIGN KEY,erpnext_database,tabShift Type,name
mysql,erpnext_database,tabJob Opening,custom_additional_comments,49,text,65535,,,,
mysql,erpnext_database,tabJob Opening,custom_gender,50,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_location_preference,51,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_career_gap_acceptable,52,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_job_description,53,text,65535,,,,
mysql,erpnext_database,tabJob Opening,custom_roles_and_responsibilities,54,longtext,4294967295,,,,
mysql,erpnext_database,tabJob Opening,custom_key_skills,55,varchar,140,FOREIGN KEY,erpnext_database,tabSkill,name
mysql,erpnext_database,tabJob Opening,custom_competencies_and_skills_required,56,longtext,4294967295,,,,
mysql,erpnext_database,tabJob Opening,custom_recruitment_type,57,varchar,140,,,,
mysql,erpnext_database,tabJob Opening,custom_partner_name,58,varchar,140,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,creation,2,datetime,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,modified,3,datetime,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,modified_by,4,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,owner,5,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,docstatus,6,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,parent,7,varchar,140,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,parentfield,8,varchar,140,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,parenttype,9,varchar,140,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,idx,10,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,min_grade,11,decimal,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,notify_employee,12,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,prevent_pos,13,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,max_grade,14,decimal,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,notify_supplier,15,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,employee_link,16,varchar,140,FOREIGN KEY,erpnext_database,tabEmployee,name
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,prevent_rfqs,17,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,standing_color,18,varchar,140,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,warn_pos,19,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,warn_rfqs,20,int,,,,,
mysql,erpnext_database,tabSupplier Scorecard Scoring Standing,standing_name,21,varchar,140,FOREIGN KEY,erpnext_database,tabSupplier Scorecard Standing,name
mysql,erpnext_database,tabDowntime Entry,creation,2,datetime,,,,,
mysql,erpnext_database,tabDowntime Entry,modified,3,datetime,,,,,
mysql,erpnext_database,tabDowntime Entry,modified_by,4,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabDowntime Entry,owner,5,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabDowntime Entry,docstatus,6,int,,,,,
mysql,erpnext_database,tabDowntime Entry,parent,7,varchar,140,,,,
mysql,erpnext_database,tabDowntime Entry,parentfield,8,varchar,140,,,,
mysql,erpnext_database,tabDowntime Entry,parenttype,9,varchar,140,,,,
mysql,erpnext_database,tabDowntime Entry,idx,10,int,,,,,
mysql,erpnext_database,tabDowntime Entry,naming_series,11,varchar,140,,,,
mysql,erpnext_database,tabDowntime Entry,workstation,12,varchar,140,FOREIGN KEY,erpnext_database,tabWorkstation,name
mysql,erpnext_database,tabDowntime Entry,operator,13,varchar,140,FOREIGN KEY,erpnext_database,tabEmployee,name
mysql,erpnext_database,tabDowntime Entry,from_time,14,datetime,,,,,
mysql,erpnext_database,tabDowntime Entry,to_time,15,datetime,,,,,
mysql,erpnext_database,tabDowntime Entry,downtime,16,decimal,,,,,
mysql,erpnext_database,tabDowntime Entry,stop_reason,17,varchar,140,,,,
mysql,erpnext_database,tabDowntime Entry,remarks,18,text,65535,,,,
mysql,erpnext_database,tabDowntime Entry,_user_tags,19,text,65535,,,,
mysql,erpnext_database,tabDowntime Entry,_comments,20,text,65535,,,,
mysql,erpnext_database,tabDowntime Entry,_assign,21,text,65535,,,,
mysql,erpnext_database,tabDowntime Entry,_liked_by,22,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,creation,2,datetime,,,,,
mysql,erpnext_database,tabSales Invoice,modified,3,datetime,,,,,
mysql,erpnext_database,tabSales Invoice,modified_by,4,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabSales Invoice,owner,5,varchar,140,FOREIGN KEY,erpnext_database,tabUser,name
mysql,erpnext_database,tabSales Invoice,docstatus,6,int,,,,,
mysql,erpnext_database,tabSales Invoice,parent,7,varchar,140,,,,
mysql,erpnext_database,tabSales Invoice,parentfield,8,varchar,140,,,,
mysql,erpnext_database,tabSales Invoice,parenttype,9,varchar,140,,,,
mysql,erpnext_database,tabSales Invoice,idx,10,int,,,,,
mysql,erpnext_database,tabSales Invoice,cash_bank_account,11,varchar,140,FOREIGN KEY,erpnext_database,tabAccount,name
mysql,erpnext_database,tabSales Invoice,base_write_off_amount,12,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,apply_discount_on,13,varchar,15,,,,
mysql,erpnext_database,tabSales Invoice,selling_price_list,14,varchar,140,FOREIGN KEY,erpnext_database,tabPrice List,name
mysql,erpnext_database,tabSales Invoice,tc_name,15,varchar,140,FOREIGN KEY,erpnext_database,tabTerms and Conditions,name
mysql,erpnext_database,tabSales Invoice,base_grand_total,16,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,tax_id,17,varchar,140,,,,
mysql,erpnext_database,tabSales Invoice,base_in_words,18,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,due_date,19,date,,,,,
mysql,erpnext_database,tabSales Invoice,ignore_pricing_rule,20,int,,,,,
mysql,erpnext_database,tabSales Invoice,write_off_cost_center,21,varchar,140,FOREIGN KEY,erpnext_database,tabCost Center,name
mysql,erpnext_database,tabSales Invoice,_assign,22,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,base_discount_amount,23,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,_seen,24,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,base_total_taxes_and_charges,25,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,pos_profile,26,varchar,140,FOREIGN KEY,erpnext_database,tabPOS Profile,name
mysql,erpnext_database,tabSales Invoice,discount_amount,27,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,set_warehouse,28,varchar,140,FOREIGN KEY,erpnext_database,tabWarehouse,name
mysql,erpnext_database,tabSales Invoice,is_return,29,int,,,,,
mysql,erpnext_database,tabSales Invoice,write_off_outstanding_amount_automatically,30,int,,,,,
mysql,erpnext_database,tabSales Invoice,redeem_loyalty_points,31,int,,,,,
mysql,erpnext_database,tabSales Invoice,select_print_heading,32,varchar,140,FOREIGN KEY,erpnext_database,tabPrint Heading,name
mysql,erpnext_database,tabSales Invoice,is_pos,33,int,,,,,
mysql,erpnext_database,tabSales Invoice,against_income_account,34,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,write_off_amount,35,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,update_billed_amount_in_sales_order,36,int,,,,,
mysql,erpnext_database,tabSales Invoice,party_account_currency,37,varchar,140,FOREIGN KEY,erpnext_database,tabCurrency,name
mysql,erpnext_database,tabSales Invoice,total_advance,38,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,_liked_by,39,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,total_qty,40,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,cost_center,41,varchar,140,FOREIGN KEY,erpnext_database,tabCost Center,name
mysql,erpnext_database,tabSales Invoice,po_date,42,date,,,,,
mysql,erpnext_database,tabSales Invoice,scan_barcode,43,varchar,140,,,,
mysql,erpnext_database,tabSales Invoice,price_list_currency,44,varchar,140,FOREIGN KEY,erpnext_database,tabCurrency,name
mysql,erpnext_database,tabSales Invoice,contact_display,45,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,loyalty_points,46,int,,,,,
mysql,erpnext_database,tabSales Invoice,base_rounding_adjustment,47,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,loyalty_redemption_account,48,varchar,140,FOREIGN KEY,erpnext_database,tabAccount,name
mysql,erpnext_database,tabSales Invoice,taxes_and_charges,49,varchar,140,FOREIGN KEY,erpnext_database,tabSales Taxes and Charges Template,name
mysql,erpnext_database,tabSales Invoice,terms,50,longtext,4294967295,,,,
mysql,erpnext_database,tabSales Invoice,shipping_address,51,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,customer_address,52,varchar,140,FOREIGN KEY,erpnext_database,tabAddress,name
mysql,erpnext_database,tabSales Invoice,_comments,53,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,total_commission,54,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,contact_mobile,55,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,allocate_advances_automatically,56,int,,,,,
mysql,erpnext_database,tabSales Invoice,_user_tags,57,text,65535,,,,
mysql,erpnext_database,tabSales Invoice,c_form_applicable,58,varchar,4,,,,
mysql,erpnext_database,tabSales Invoice,base_net_total,59,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,language,60,varchar,6,,,,
mysql,erpnext_database,tabSales Invoice,rounded_total,61,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,customer_group,62,varchar,140,FOREIGN KEY,erpnext_database,tabCustomer Group,name
mysql,erpnext_database,tabSales Invoice,commission_rate,63,decimal,,,,,
mysql,erpnext_database,tabSales Invoice,offline_pos_name,64,varchar,140,,,,
